species,id,sex,x,y,UTMzone,datetime
Bungarus fasciatus,BUFA001,M,820757,1608473,47N,2015-08-16 00:00
Bungarus fasciatus,BUFA001,M,820757,1608473,47N,2015-08-19 00:00
Bungarus fasciatus,BUFA001,M,820757,1608473,47N,2015-08-23 00:00
Bungarus fasciatus,BUFA001,M,820757,1608473,47N,2015-08-26 00:00
Bungarus fasciatus,BUFA001,M,820757,1608473,47N,2015-08-28 00:00
Bungarus fasciatus,BUFA001,M,821441,1608828,47N,2015-09-02 00:00
Bungarus fasciatus,BUFA001,M,821369,1608550,47N,2015-09-05 00:00
Bungarus fasciatus,BUFA001,M,821350,1608486,47N,2015-09-07 00:00
Bungarus fasciatus,BUFA001,M,821350,1608486,47N,2015-09-08 00:00
Bungarus fasciatus,BUFA001,M,821370,1608494,47N,2015-09-14 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-09-23 00:00
Bungarus fasciatus,BUFA001,M,821497,1609329,47N,2015-09-25 00:00
Bungarus fasciatus,BUFA001,M,821576,1608195,47N,2015-09-28 00:00
Bungarus fasciatus,BUFA001,M,821576,1608195,47N,2015-09-29 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-10-03 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-10-04 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-10-05 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-10-07 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-10-08 00:00
Bungarus fasciatus,BUFA001,M,821276,1608183,47N,2015-10-09 00:00
Bungarus fasciatus,BUFA001,M,821591,1608189,47N,2015-10-15 00:00
Bungarus fasciatus,BUFA001,M,822087,1608198,47N,2015-10-16 00:00
Bungarus fasciatus,BUFA001,M,821661,1608249,47N,2015-10-17 00:00
Bungarus fasciatus,BUFA001,M,821265,1608154,47N,2015-10-19 00:00
Bungarus fasciatus,BUFA001,M,821288,1608194,47N,2015-10-20 00:00
Bungarus fasciatus,BUFA001,M,821334,1608348,47N,2015-10-21 00:00
Bungarus fasciatus,BUFA001,M,822102,1608210,47N,2015-10-26 00:00
Bungarus fasciatus,BUFA001,M,822086,1608188,47N,2015-10-30 00:00
Bungarus fasciatus,BUFA001,M,821684,1608602,47N,2015-12-02 00:00
Bungarus fasciatus,BUFA001,M,821698,1608626,47N,2015-12-03 00:00
Bungarus fasciatus,BUFA001,M,821320,1608204,47N,2015-12-05 00:00
Bungarus fasciatus,BUFA001,M,821593,1608181,47N,2015-12-06 00:00
Bungarus fasciatus,BUFA001,M,821776,1608753,47N,2015-12-07 00:00
Bungarus fasciatus,BUFA001,M,821776,1608753,47N,2015-12-08 00:00
Bungarus fasciatus,BUFA001,M,821844,1608835,47N,2015-12-09 00:00
Bungarus fasciatus,BUFA001,M,821846,1608843,47N,2015-12-10 00:00
Bungarus fasciatus,BUFA001,M,821869,1608835,47N,2015-12-11 00:00
Bungarus fasciatus,BUFA001,M,821852,1608838,47N,2015-12-12 00:00
Bungarus fasciatus,BUFA001,M,821852,1608838,47N,2015-12-13 00:00
Bungarus fasciatus,BUFA001,M,821852,1608838,47N,2015-12-14 00:00
Bungarus fasciatus,BUFA001,M,821852,1608838,47N,2015-12-15 00:00
Bungarus fasciatus,BUFA001,M,821028,1609077,47N,2015-12-18 00:00
Bungarus fasciatus,BUFA001,M,821228,1609060,47N,2015-12-19 00:00
Bungarus fasciatus,BUFA001,M,821527,1608641,47N,2015-12-20 00:00
Bungarus fasciatus,BUFA001,M,821527,1608641,47N,2015-12-21 00:00
Bungarus fasciatus,BUFA001,M,821527,1608641,47N,2015-12-22 00:00
