"value","se","ci","lower","upper","variable","model"
0.409485238252113,0.0873269867837393,0.95,0.226063945722956,0.549392180274741,"r2 conditional","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
0.392003452000726,0.0865835347771469,0.95,0.2144398956094,0.538035833178588,"r2 marginal","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
0.150944275242724,NA,0.95,0.000737519178551616,0.45777149307204,"tau2_sd_index_intercept","ssfBrms_OPHA_H1_binary_OPHA_H1_binary"
0.399361876869598,0.100114294676772,0.95,0.193524869463527,0.562524045883042,"r2 conditional","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
0.383959579935725,0.105382139539187,0.95,0.175413911665529,0.548778545898809,"r2 marginal","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
0.173592504605088,NA,0.95,0.00134369104095604,0.500144232466414,"tau2_sd_index_intercept","ssfBrms_OPHA_H2_binary_OPHA_H2_binary"
0.00233740792462726,0.00119096724097805,0.95,0.000340824700633661,0.0049585496429703,"r2 conditional","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.00214132068115261,0.0011894247612367,0.95,0.000216388829680982,0.00480055589887419,"r2 marginal","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.0133816954629212,NA,0.95,1.37523793668991e-05,0.0373775442656772,"tau2_sd_index_intercept","ssfBrms_OPHA_H1_continuous_OPHA_H1_continuous"
0.0381093794007968,0.022388645893983,0.95,0.00309483937916618,0.0846177912141965,"r2 conditional","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.0380951145641554,0.0222863902583934,0.95,0.00323348570510539,0.0847750083830237,"r2 marginal","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.0197096765561942,NA,0.95,3.39986433703864e-06,0.0616269846462778,"tau2_sd_index_intercept","ssfBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.148915978420081,0.0775164968012267,0.95,0.0288734365399405,0.300147709146513,"r2 conditional","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
0.121824495090426,0.0713465858518505,0.95,0.0151613375908046,0.265310105717539,"r2 marginal","ssfBrms_PYBI_H1_binary_PYBI_H1_binary"
